time,latitude,longitude,sst
2021-02-16T00:00:00Z,18.74,-156.28,25.21814
2021-02-16T00:00:00Z,18.74,-156.27,25.212341
2021-02-16T00:00:00Z,18.74,-156.26,25.211945
2021-02-16T00:00:00Z,18.74,-156.25,25.216705
2021-02-16T00:00:00Z,18.74,-156.24,25.220703
2021-02-16T00:00:00Z,18.74,-156.23,25.22049
2021-02-16T00:00:00Z,18.74,-156.22,25.217224
2021-02-16T00:00:00Z,18.74,-156.21,25.211975
2021-02-16T00:00:00Z,18.74,-156.2,25.207642
2021-02-16T00:00:00Z,18.74,-156.19,25.206512
2021-02-16T00:00:00Z,18.74,-156.18,25.208618
2021-02-16T00:00:00Z,18.74,-156.17,25.213226
2021-02-16T00:00:00Z,18.74,-156.16,25.217407
2021-02-16T00:00:00Z,18.74,-156.15,25.21939
2021-02-16T00:00:00Z,18.74,-156.14,25.22052
2021-02-16T00:00:00Z,18.74,-156.13,25.224243
2021-02-16T00:00:00Z,18.74,-156.12,25.23056
2021-02-16T00:00:00Z,18.74,-156.11,25.235931
2021-02-16T00:00:00Z,18.74,-156.1,25.239136
2021-02-16T00:00:00Z,18.74,-156.09,25.24002
2021-02-16T00:00:00Z,18.74,-156.08,25.239594
2021-02-16T00:00:00Z,18.74,-156.07,25.240204
2021-02-16T00:00:00Z,18.74,-156.06,25.24289
2021-02-16T00:00:00Z,18.74,-156.05,25.244476
2021-02-16T00:00:00Z,18.74,-156.04,25.24231
2021-02-16T00:00:00Z,18.74,-156.03,25.236542
2021-02-16T00:00:00Z,18.74,-156.02,25.227753
2021-02-16T00:00:00Z,18.74,-156.01,25.218353
2021-02-16T00:00:00Z,18.74,-156,25.21103
2021-02-16T00:00:00Z,18.74,-155.99,25.202972
2021-02-16T00:00:00Z,18.74,-155.98,25.191772
2021-02-16T00:00:00Z,18.74,-155.97,25.17685
2021-02-16T00:00:00Z,18.74,-155.96,25.16034
2021-02-16T00:00:00Z,18.74,-155.95,25.143066
2021-02-16T00:00:00Z,18.74,-155.94,25.125366
2021-02-16T00:00:00Z,18.74,-155.93,25.107605
2021-02-16T00:00:00Z,18.74,-155.92,25.090698
2021-02-16T00:00:00Z,18.74,-155.91,25.07483
2021-02-16T00:00:00Z,18.74,-155.9,25.058807
2021-02-16T00:00:00Z,18.74,-155.89,25.041931
2021-02-16T00:00:00Z,18.74,-155.88,25.023651
2021-02-16T00:00:00Z,18.74,-155.87,25.004333
2021-02-16T00:00:00Z,18.74,-155.86,24.98703
2021-02-16T00:00:00Z,18.74,-155.85,24.974213
2021-02-16T00:00:00Z,18.74,-155.84,24.963348
2021-02-16T00:00:00Z,18.74,-155.83,24.951721
2021-02-16T00:00:00Z,18.74,-155.82,24.940308
2021-02-16T00:00:00Z,18.74,-155.81,24.931519
2021-02-16T00:00:00Z,18.74,-155.8,24.925507
2021-02-16T00:00:00Z,18.74,-155.79,24.921783
2021-02-16T00:00:00Z,18.74,-155.78,24.91867
2021-02-16T00:00:00Z,18.74,-155.77,24.914429
2021-02-16T00:00:00Z,18.74,-155.76,24.908356
2021-02-16T00:00:00Z,18.74,-155.75,24.901184
2021-02-16T00:00:00Z,18.74,-155.74,24.89264
2021-02-16T00:00:00Z,18.74,-155.73,24.880096
2021-02-16T00:00:00Z,18.74,-155.72,24.861633
2021-02-16T00:00:00Z,18.74,-155.71,24.83664
2021-02-16T00:00:00Z,18.74,-155.7,24.806335
2021-02-16T00:00:00Z,18.74,-155.69,24.77478
2021-02-16T00:00:00Z,18.74,-155.68,24.746002
2021-02-16T00:00:00Z,18.74,-155.67,24.721405
2021-02-16T00:00:00Z,18.74,-155.66,24.700775
2021-02-16T00:00:00Z,18.74,-155.65,24.683655
2021-02-16T00:00:00Z,18.74,-155.64,24.66922
2021-02-16T00:00:00Z,18.74,-155.63,24.655945
2021-02-16T00:00:00Z,18.74,-155.62,24.641174
2021-02-16T00:00:00Z,18.74,-155.61,24.625854
2021-02-16T00:00:00Z,18.74,-155.6,24.613098
2021-02-16T00:00:00Z,18.74,-155.59,24.603363
2021-02-16T00:00:00Z,18.74,-155.58,24.5932
2021-02-16T00:00:00Z,18.74,-155.57,24.581238
2021-02-16T00:00:00Z,18.74,-155.56,24.567932
2021-02-16T00:00:00Z,18.74,-155.55,24.554962
2021-02-16T00:00:00Z,18.74,-155.54,24.54184
2021-02-16T00:00:00Z,18.74,-155.53,24.52893
2021-02-16T00:00:00Z,18.74,-155.52,24.517609
2021-02-16T00:00:00Z,18.74,-155.51,24.509338
2021-02-16T00:00:00Z,18.74,-155.5,24.503326
2021-02-16T00:00:00Z,18.74,-155.49,24.499268
2021-02-16T00:00:00Z,18.74,-155.48,24.496765
2021-02-16T00:00:00Z,18.74,-155.47,24.496185
2021-02-16T00:00:00Z,18.74,-155.46,24.497559
2021-02-16T00:00:00Z,18.74,-155.45,24.500854
2021-02-16T00:00:00Z,18.74,-155.44,24.505371
2021-02-16T00:00:00Z,18.74,-155.43,24.510529
2021-02-16T00:00:00Z,18.74,-155.42,24.516296
2021-02-16T00:00:00Z,18.74,-155.41,24.524536
2021-02-16T00:00:00Z,18.74,-155.4,24.535278
2021-02-16T00:00:00Z,18.74,-155.39,24.545868
2021-02-16T00:00:00Z,18.74,-155.38,24.552979
2021-02-16T00:00:00Z,18.74,-155.37,24.556488
2021-02-16T00:00:00Z,18.74,-155.36,24.55655
2021-02-16T00:00:00Z,18.74,-155.35,24.55539
2021-02-16T00:00:00Z,18.74,-155.34,24.555359
2021-02-16T00:00:00Z,18.74,-155.33,24.55722
2021-02-16T00:00:00Z,18.74,-155.32,24.560852
2021-02-16T00:00:00Z,18.74,-155.31,24.56607
2021-02-16T00:00:00Z,18.74,-155.3,24.572357
2021-02-16T00:00:00Z,18.74,-155.29,24.578644
2021-02-16T00:00:00Z,18.74,-155.28,24.582458
2021-02-16T00:00:00Z,18.74,-155.27,24.583252
2021-02-16T00:00:00Z,18.74,-155.26,24.582336
2021-02-16T00:00:00Z,18.74,-155.25,24.581085
2021-02-16T00:00:00Z,18.74,-155.24,24.580475
2021-02-16T00:00:00Z,18.74,-155.23,24.58136
2021-02-16T00:00:00Z,18.74,-155.22,24.582062
2021-02-16T00:00:00Z,18.74,-155.21,24.581085
2021-02-16T00:00:00Z,18.74,-155.2,24.578735
2021-02-16T00:00:00Z,18.74,-155.19,24.574738
2021-02-16T00:00:00Z,18.74,-155.18,24.569214
2021-02-16T00:00:00Z,18.74,-155.17,24.562134
2021-02-16T00:00:00Z,18.74,-155.16,24.555878
2021-02-16T00:00:00Z,18.74,-155.15,24.553345
2021-02-16T00:00:00Z,18.74,-155.14,24.553833
2021-02-16T00:00:00Z,18.74,-155.13,24.553894
2021-02-16T00:00:00Z,18.74,-155.12,24.552094
2021-02-16T00:00:00Z,18.74,-155.11,24.549408
2021-02-16T00:00:00Z,18.74,-155.1,24.546814
2021-02-16T00:00:00Z,18.74,-155.09,24.545044
2021-02-16T00:00:00Z,18.74,-155.08,24.544006
2021-02-16T00:00:00Z,18.74,-155.07,24.543915
2021-02-16T00:00:00Z,18.74,-155.06,24.544067
2021-02-16T00:00:00Z,18.74,-155.05,24.543793
2021-02-16T00:00:00Z,18.74,-155.04,24.542175
2021-02-16T00:00:00Z,18.74,-155.03,24.539001
2021-02-16T00:00:00Z,18.74,-155.02,24.533905
2021-02-16T00:00:00Z,18.74,-155.01,24.528595
2021-02-16T00:00:00Z,18.74,-155,24.524475
2021-02-16T00:00:00Z,18.74,-154.99,24.52127
2021-02-16T00:00:00Z,18.74,-154.98,24.516937
2021-02-16T00:00:00Z,18.74,-154.97,24.511597
2021-02-16T00:00:00Z,18.74,-154.96,24.507843
2021-02-16T00:00:00Z,18.74,-154.95,24.506195
2021-02-16T00:00:00Z,18.74,-154.94,24.506378
2021-02-16T00:00:00Z,18.74,-154.93,24.50821
2021-02-16T00:00:00Z,18.74,-154.92,24.512817
2021-02-16T00:00:00Z,18.74,-154.91,24.519989
2021-02-16T00:00:00Z,18.74,-154.9,24.527222
2021-02-16T00:00:00Z,18.74,-154.89,24.531586
2021-02-16T00:00:00Z,18.74,-154.88,24.530884
2021-02-16T00:00:00Z,18.74,-154.87,24.5242
2021-02-16T00:00:00Z,18.74,-154.86,24.51297
2021-02-16T00:00:00Z,18.74,-154.85,24.500122
2021-02-16T00:00:00Z,18.74,-154.84,24.488647
2021-02-16T00:00:00Z,18.74,-154.83,24.48169
2021-02-16T00:00:00Z,18.74,-154.82,24.47818
2021-02-16T00:00:00Z,18.74,-154.81,24.474396
2021-02-16T00:00:00Z,18.74,-154.8,24.468597
2021-02-16T00:00:00Z,18.74,-154.79,24.461945
2021-02-16T00:00:00Z,18.74,-154.78,24.455841
2021-02-16T00:00:00Z,18.74,-154.77,24.451721
2021-02-16T00:00:00Z,18.74,-154.76,24.45108
2021-02-16T00:00:00Z,18.74,-154.75,24.45398
2021-02-16T00:00:00Z,18.74,-154.74,24.459839
