id,x,y,longitude,latitude,depth,strat,strat_area
site_21,245.4175622298517,1478.6308484449191,144.6494657785541,13.36430413488014,0.577237376011908,17,17.04891006115781
site_22,245.00835079682727,1479.1423627361983,144.6456449586071,13.368890447561975,1.0116199553012848,17,17.04891006115781
site_23,258.5123280866337,1493.2601571755022,144.76908038796643,13.497581271340279,0.44626107222090167,17,17.04891006115781
site_24,258.6146309448899,1492.8509457424789,144.7700593154508,13.493892253867122,1.106242494923728,18,0.5128278655596885
site_25,247.15671082020557,1487.7358028296876,144.66471935688355,13.446714864415814,14.119688034057617,19,1.7687328424405582
site_26,277.0291454309896,1499.7052372456192,144.9395607847367,13.557285092220448,9.803231061106981,20,0.27211274499085514
site_27,248.3843451192789,1489.781859994804,144.67587290348177,13.465305740906624,17.610190823203638,21,1.276836726495551
site_28,276.72223685622123,1498.4776029465493,144.9368217095276,13.546168256917557,6.264801621437073,22,0.1151246228807464
site_29,248.17973940276667,1486.2012599558502,144.67429632913246,13.432937880242411,11.83778034210205,23,0.9628604822753335
site_30,243.98532221426618,1487.531197113176,144.63546381364878,13.444592896628814,17.382797496318815,24,0.020931749614681163
site_31,245.62216794636393,1489.5772542782925,144.65039231240476,13.463220036137557,6.802577687501907,25,1.3605637249542757
site_32,273.0393339590013,1507.0710430400386,144.90212326935205,13.623537225562751,15.074737777709961,26,0.1151246228807464
site_33,246.2359850959006,1489.9864657113158,144.65602258463056,13.466970084687462,7.285354161262513,27,1.548949471486406
site_34,250.32809942614497,1490.2933742860832,144.69377238971225,13.470092613869275,14.147729966640473,28,0.08372699845872465
site_35,247.56592225323,1487.6334999714318,144.66850559327338,13.445825604391494,7.158831743597984,29,0.8058723601652248
site_36,276.3130254231968,1504.6157744418988,144.93256183310848,13.60160393596587,9.579371022647374,30,0.09419287326606524
site_37,259.0238423779143,1472.0834655165463,144.77556376090715,13.306279708524748,14.738425168991089,31,2.668798075871848
site_38,270.4817625025986,1510.1401287877134,144.87824646552815,13.651069045223911,16.950273189544678,32,7.462168737633835
site_39,245.3152593715956,1464.001539714336,144.6497961684779,13.232121737709228,12.389579458236694,32,7.462168737633835
site_40,268.9472196287569,1490.9071914356182,144.8656208573287,13.477158551919862,12.221109795570374,33,1.7687328424405582
site_41,246.54289367066892,1466.2522025959643,144.66092375012505,13.252560352406224,6.903589363098145,34,0.5965548640184132
